station_id,urbanization_bin
USC00146549,4
USC00147093,1
USC00147271,2
USC00147305,1
USC00148235,1
USC00148495,2
USC00148563,3
USC00148670,4
USC00148964,2
USC00150254,6
USC00152791,2
USC00155243,3
USC00160098,7
USC00161287,3
USC00161411,3
USC00162534,4
USC00163313,4
USC00163800,4
USC00164700,4
USC00166244,5
USC00168163,1
USC00169013,5
USC00172765,2
USC00173046,4
USC00173944,1
USC00174927,2
USC00176937,3
USC00181790,7
USC00182282,6
USC00186620,3
USC00187806,2
USC00188380,1
USC00190120,5
USC00190736,7
USC00193505,7
USC00194105,8
USC00200032,6
USC00200146,5
USC00200230,7
USC00200779,4
USC00201476,5
USC00201486,0
USC00201492,4
USC00201675,6
USC00202423,4
USC00203391,3
USC00203429,5
USC00203529,0
USC00203585,2
USC00203632,3
USC00203661,4
USC00203823,5
USC00204090,5
USC00204104,4
USC00205065,4
USC00205434,7
USC00205690,2
USC00206300,6
USC00207364,5
USC00207812,3
USC00208417,0
USC00208800,3
USC00210075,2
USC00210287,0
USC00211630,3
USC00211691,3
USC00211891,3
USC00212645,3
USC00212698,4
USC00213290,1
USC00213303,5
USC00214106,0
USC00214652,0
USC00215400,0
USC00215615,3
USC00215638,3
USC00216152,2
USC00216547,2
USC00216565,3
USC00217405,4
USC00218323,2
USC00218419,2
USC00218692,4
USC00218907,1
USC00219046,1
USC00219249,3
USC00220021,3
USC00220792,7
USC00221094,4
USC00221707,5
USC00221880,6
USC00221962,2
USC00223887,4
USC00225247,4
USC00226177,4
USC00227111,1
USC00227128,3
USC00227132,2
USC00228374,6
USC00229079,6
USC00229439,4
USC00229860,3
USC00230204,1
USC00231711,4
USC00231822,1
USC00232809,6
USC00234226,5
USC00234271,7
USC00234544,5
USC00234705,3
USC00234825,5
USC00235027,1
USC00235253,2
USC00235340,5
USC00235671,5
USC00235834,4
USC00235976,5
USC00235987,5
USC00237263,6
USC00237397,8
USC00237506,4
USC00237963,0
USC00238051,0
USC00238223,1
USC00238466,3
USC00240199,2
USC00240780,2
USC00240802,7
USC00241044,7
USC00241102,1
USC00241297,0
USC00241552,0
USC00241722,1
USC00241974,2
USC00242409,3
USC00242689,0
USC00242793,1
USC00243013,0
USC00243110,0
USC00243489,0
USC00243581,4
USC00243617,0
USC00244038,0
USC00244084,0
USC00244241,0
USC00244345,1
USC00244558,3
USC00245080,0
USC00245338,0
USC00245761,0
USC00246157,0
USC00246472,1
USC00246601,0
USC00246862,0
USC00246918,2
USC00247382,0
USC00247894,3
USC00248597,0
USC00250050,2
USC00250420,1
USC00250435,0
USC00250640,0
USC00251145,2
USC00251200,3
USC00251365,0
USC00251825,6
USC00252020,1
USC00252065,1
USC00252205,2
USC00252805,0
USC00252820,0
USC00253050,6
USC00253175,2
USC00253185,1
USC00253365,3
USC00253615,0
USC00253630,2
USC00253660,2
USC00253735,1
USC00253910,4
USC00254110,2
USC00254335,4
USC00254440,2
USC00254900,0
USC00254985,1
USC00255310,4
USC00255565,2
USC00255925,0
USC00256135,0
USC00256385,1
USC00256970,0
USC00257040,1
USC00257070,1
USC00258395,2
USC00258465,1
USC00258480,1
USC00258751,2
USC00258915,1
USC00259200,3
USC00262780,6
USC00264950,0
USC00265168,0
USC00272174,4
USC00273850,4
USC00274399,5
USC00280734,3
USC00281582,3
